"CNTRY","YEAR","SAMPLE","AGE","SEX","population"
"Vietnam","1999","Vietnam 1999","5","Male","876553.11"
"Vietnam","1999","Vietnam 1999","5","Female","831602.86"
"Vietnam","1999","Vietnam 1999","6","Male","917753.26"
"Vietnam","1999","Vietnam 1999","6","Female","857490.32"
"Vietnam","1999","Vietnam 1999","7","Male","922927.39"
"Vietnam","1999","Vietnam 1999","7","Female","858273.57"
"Vietnam","1999","Vietnam 1999","8","Male","1032453.01"
"Vietnam","1999","Vietnam 1999","8","Female","956584.43"
"Vietnam","1999","Vietnam 1999","9","Male","995148.8"
"Vietnam","1999","Vietnam 1999","9","Female","912411.14"
"Vietnam","1999","Vietnam 1999","10","Male","921685.05"
"Vietnam","1999","Vietnam 1999","10","Female","861034.17"
"Vietnam","1999","Vietnam 1999","11","Male","970391.84"
"Vietnam","1999","Vietnam 1999","11","Female","899240.84"
"Vietnam","1999","Vietnam 1999","12","Male","914250.02"
"Vietnam","1999","Vietnam 1999","12","Female","857130.64"
"Vietnam","1999","Vietnam 1999","13","Male","943963.36"
"Vietnam","1999","Vietnam 1999","13","Female","886203.56"
"Vietnam","1999","Vietnam 1999","14","Male","973880.04"
"Vietnam","1999","Vietnam 1999","14","Female","904120.27"
"Vietnam","1999","Vietnam 1999","15","Male","958638.95"
"Vietnam","1999","Vietnam 1999","15","Female","902035.89"
"Vietnam","1999","Vietnam 1999","16","Male","932219.64"
"Vietnam","1999","Vietnam 1999","16","Female","897129.34"
"Vietnam","1999","Vietnam 1999","17","Male","804826.88"
"Vietnam","1999","Vietnam 1999","17","Female","783539.28"
"Vietnam","1999","Vietnam 1999","18","Male","736020.77"
"Vietnam","1999","Vietnam 1999","18","Female","757260.09"
"Vietnam","1999","Vietnam 1999","19","Male","692126.18"
"Vietnam","1999","Vietnam 1999","19","Female","754846.36"
"Vietnam","1999","Vietnam 1999","20","Male","647210.07"
"Vietnam","1999","Vietnam 1999","20","Female","723708.92"
"Vietnam","1999","Vietnam 1999","21","Male","642192.38"
"Vietnam","1999","Vietnam 1999","21","Female","698680.76"
"Vietnam","1999","Vietnam 1999","22","Male","670343.24"
"Vietnam","1999","Vietnam 1999","22","Female","715599.19"
"Vietnam","1999","Vietnam 1999","23","Male","665343.29"
"Vietnam","1999","Vietnam 1999","23","Female","698849.01"
"Vietnam","1999","Vietnam 1999","24","Male","657790.31"
"Vietnam","1999","Vietnam 1999","24","Female","645039.5"
"Vietnam","1999","Vietnam 1999","25","Male","628713.89"
"Vietnam","1999","Vietnam 1999","25","Female","649386.51"
"Vietnam","1999","Vietnam 1999","26","Male","670691.16"
"Vietnam","1999","Vietnam 1999","26","Female","675454.92"
"Vietnam","1999","Vietnam 1999","27","Male","636160.3"
"Vietnam","1999","Vietnam 1999","27","Female","634158.05"
"Vietnam","1999","Vietnam 1999","28","Male","660357.94"
"Vietnam","1999","Vietnam 1999","28","Female","662395.54"
"Vietnam","1999","Vietnam 1999","29","Male","629984.39"
"Vietnam","1999","Vietnam 1999","29","Female","626896.65"
"Vietnam","1999","Vietnam 1999","30","Male","650496.98"
"Vietnam","1999","Vietnam 1999","30","Female","654102.69"
"Vietnam","1999","Vietnam 1999","31","Male","551280.27"
"Vietnam","1999","Vietnam 1999","31","Female","558414.3"
"Vietnam","1999","Vietnam 1999","32","Male","574077.2"
"Vietnam","1999","Vietnam 1999","32","Female","594328.55"
"Vietnam","1999","Vietnam 1999","33","Male","588552.7"
"Vietnam","1999","Vietnam 1999","33","Female","598339.51"
"Vietnam","1999","Vietnam 1999","34","Male","620550.88"
"Vietnam","1999","Vietnam 1999","34","Female","611239.77"
"Vietnam","1999","Vietnam 1999","35","Male","602623.63"
"Vietnam","1999","Vietnam 1999","35","Female","607349.57"
"Vietnam","1999","Vietnam 1999","36","Male","579285.38"
