"CNTRY","YEAR","SAMPLE","AGE","SEX","population"
"Vietnam","1989","Vietnam 1989","76","Male","45907.46"
"Vietnam","1989","Vietnam 1989","76","Female","77188.3"
"Vietnam","1989","Vietnam 1989","77","Male","40048.86"
"Vietnam","1989","Vietnam 1989","77","Female","69444.12"
"Vietnam","1989","Vietnam 1989","78","Male","40043.13"
"Vietnam","1989","Vietnam 1989","78","Female","70948.01"
"Vietnam","1989","Vietnam 1989","79","Male","35338.09"
"Vietnam","1989","Vietnam 1989","79","Female","59055.86"
"Vietnam","1989","Vietnam 1989","80","Male","25121.1"
"Vietnam","1989","Vietnam 1989","80","Female","48787.78"
"Vietnam","1989","Vietnam 1989","81","Male","21465.31"
"Vietnam","1989","Vietnam 1989","81","Female","41947.86"
"Vietnam","1989","Vietnam 1989","82","Male","18406.59"
"Vietnam","1989","Vietnam 1989","82","Female","38857.17"
"Vietnam","1989","Vietnam 1989","83","Male","16798.84"
"Vietnam","1989","Vietnam 1989","83","Female","35321.98"
"Vietnam","1989","Vietnam 1989","84","Male","13467.85"
"Vietnam","1989","Vietnam 1989","84","Female","31079.06"
"Vietnam","1989","Vietnam 1989","85","Male","10321.75"
"Vietnam","1989","Vietnam 1989","85","Female","23922.54"
"Vietnam","1989","Vietnam 1989","86","Male","10001.65"
"Vietnam","1989","Vietnam 1989","86","Female","20694.75"
"Vietnam","1989","Vietnam 1989","87","Male","7605.81"
"Vietnam","1989","Vietnam 1989","87","Female","17373.29"
"Vietnam","1989","Vietnam 1989","88","Male","7724.83"
"Vietnam","1989","Vietnam 1989","88","Female","17263.82"
"Vietnam","1989","Vietnam 1989","89","Male","3677.95"
"Vietnam","1989","Vietnam 1989","89","Female","8372.96"
"Vietnam","1989","Vietnam 1989","90","Male","1870.61"
"Vietnam","1989","Vietnam 1989","90","Female","4551.71"
"Vietnam","1989","Vietnam 1989","91","Male","1400.11"
"Vietnam","1989","Vietnam 1989","91","Female","3349.91"
"Vietnam","1989","Vietnam 1989","92","Male","777.47"
"Vietnam","1989","Vietnam 1989","92","Female","2538.52"
"Vietnam","1989","Vietnam 1989","93","Male","838.53"
"Vietnam","1989","Vietnam 1989","93","Female","2378.37"
"Vietnam","1989","Vietnam 1989","94","Male","710.55"
"Vietnam","1989","Vietnam 1989","94","Female","1817.25"
"Vietnam","1989","Vietnam 1989","95","Male","460.26"
"Vietnam","1989","Vietnam 1989","95","Female","1591.49"
"Vietnam","1989","Vietnam 1989","96","Male","531.71"
"Vietnam","1989","Vietnam 1989","96","Female","1074.23"
"Vietnam","1989","Vietnam 1989","97","Male","281.68"
"Vietnam","1989","Vietnam 1989","97","Female","1032.59"
"Vietnam","1989","Vietnam 1989","98","Male","314.81"
"Vietnam","1989","Vietnam 1989","98","Female","1330.38"
"Vietnam","1989","Vietnam 1989","99","Male","701.76"
"Vietnam","1989","Vietnam 1989","99","Female","1210.56"
"Vietnam","1989","Vietnam 1989","100+","Male","795.28"
"Vietnam","1989","Vietnam 1989","100+","Female","2612.32"
"Vietnam","1989","Vietnam 1989","Not reported/missing","Male","3638.18"
"Vietnam","1989","Vietnam 1989","Not reported/missing","Female","3673.78"
"Vietnam","1999","Vietnam 1999","Less than 1 year","Male","676235.48"
"Vietnam","1999","Vietnam 1999","Less than 1 year","Female","627645.85"
"Vietnam","1999","Vietnam 1999","1 year","Male","700268.51"
"Vietnam","1999","Vietnam 1999","1 year","Female","647724.01"
"Vietnam","1999","Vietnam 1999","2 years","Male","725042.47"
"Vietnam","1999","Vietnam 1999","2 years","Female","666935.77"
"Vietnam","1999","Vietnam 1999","3","Male","819333.58"
"Vietnam","1999","Vietnam 1999","3","Female","741499.97"
"Vietnam","1999","Vietnam 1999","4","Male","864275.36"
"Vietnam","1999","Vietnam 1999","4","Female","800495.78"
